JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3342962 -0.18510 0.08457 1.23781 0.05692 1.42292 0.06717 0.0039901 1.9465
2461182.3344298 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039901 1.9467
2461182.3345642 99.99999 9.99999 99.99999 9.99999 1.25860 0.07190 0.0039901 1.9470
2461182.3347609 -0.27232 0.09215 1.15484 0.06327 1.42716 0.07265 0.0039901 1.9473
2461182.3348932 99.99999 9.99999 99.99999 9.99999 1.20304 0.06874 0.0039901 1.9476
2461182.3350273 -0.44923 0.09174 0.96005 0.05489 1.40928 0.07880 0.0039901 1.9478
2461182.3351610 -0.60409 0.08293 1.03403 0.04322 1.63812 0.07418 0.0039901 1.9481
2461182.3352945 -0.41729 0.07748 1.13316 0.04650 1.55045 0.06543 0.0039901 1.9483
2461182.3354928 -0.35884 0.07467 1.12894 0.04695 1.48778 0.06189 0.0039901 1.9487
2461182.3356252 -0.43914 0.07616 1.12327 0.04622 1.56241 0.06437 0.0039900 1.9489
2461182.3357578 -0.38356 0.07417 1.06237 0.04561 1.44593 0.06288 0.0039900 1.9492
2461182.3358914 -0.42369 0.07729 1.23381 0.04425 1.65750 0.06619 0.0039900 1.9495
2461182.3360259 -0.29576 0.07098 1.24248 0.04591 1.53824 0.05777 0.0039900 1.9497
2461182.3364855 -0.33001 0.07129 1.17548 0.04389 1.50549 0.05950 0.0039900 1.9506
2461182.3366176 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039900 1.9509
2461182.3367503 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039900 1.9512
2461182.3368833 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039900 1.9514
2461182.3370789 99.99999 9.99999 1.06308 0.04854 99.99999 9.99999 0.0039899 1.9518
2461182.3372112 -0.29569 0.09505 1.20785 0.05895 1.50355 0.07898 0.0039899 1.9521
2461182.3373452 -0.49324 0.06583 0.85966 0.03787 1.35290 0.05811 0.0039899 1.9524
2461182.3374798 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039899 1.9527
2461182.3376160 99.99999 9.99999 0.94853 0.03906 99.99999 9.99999 0.0039899 1.9530
2461182.3378125 99.99999 9.99999 99.99999 9.99999 1.50240 0.05937 0.0039899 1.9534
2461182.3379447 -0.49236 0.06269 1.15626 0.03621 1.64862 0.05388 0.0039899 1.9537
2461182.3380802 -0.27498 0.06213 1.29848 0.04062 1.57346 0.05008 0.0039899 1.9540
2461182.3382141 -0.43927 0.06350 0.99022 0.03714 1.42948 0.05502 0.0039899 1.9542
2461182.3383473 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039899 1.9545
2461182.3389393 -0.41176 0.05878 1.13864 0.03598 1.55040 0.04933 0.0039898 1.9558
2461182.3390714 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039898 1.9561
2461182.3392685 -0.55441 0.06750 1.06260 0.03632 1.61702 0.05966 0.0039898 1.9566
2461182.3394006 -0.45517 0.05593 1.11052 0.03291 1.56569 0.04774 0.0039898 1.9569
2461182.3396656 -0.50783 0.05706 1.14475 0.03142 1.65258 0.05004 0.0039898 1.9575
2461182.3397979 99.99999 9.99999 1.18232 0.03906 99.99999 9.99999 0.0039898 1.9578
2461182.3399946 99.99999 9.99999 1.30849 0.04410 99.99999 9.99999 0.0039897 1.9583
2461182.3401271 99.99999 9.99999 99.99999 9.99999 1.61393 0.05714 0.0039897 1.9586
2461182.3402594 -0.39183 0.06010 1.14762 0.03630 1.53946 0.05079 0.0039897 1.9589
2461182.3403920 99.99999 9.99999 1.09724 0.03451 99.99999 9.99999 0.0039897 1.9592
2461182.3405254 -0.39017 0.05814 1.07363 0.03488 1.46380 0.04981 0.0039897 1.9595
2461182.3407244 -0.42230 0.05591 1.24502 0.03322 1.66732 0.04701 0.0039897 1.9600
2461182.3409899 99.99999 9.99999 99.99999 9.99999 1.58383 0.04842 0.0039897 1.9607
2461182.3411230 -0.44002 0.05956 99.99999 9.99999 99.99999 9.99999 0.0039897 1.9610
2461182.3412551 -0.54168 0.06260 1.12916 0.03397 1.67084 0.05491 0.0039897 1.9613
2461182.3413884 -0.49627 0.05775 99.99999 9.99999 99.99999 9.99999 0.0039896 1.9617
2461182.3415851 99.99999 9.99999 1.15181 0.03323 99.99999 9.99999 0.0039896 1.9621
2461182.3417176 -0.53965 0.05120 1.09713 0.02870 1.63678 0.04474 0.0039896 1.9625
2461182.3418519 99.99999 9.99999 99.99999 9.99999 1.60809 0.04993 0.0039896 1.9628
2461182.3419854 -0.46324 0.05424 1.20614 0.03135 1.66938 0.04630 0.0039896 1.9632
2461182.3421197 -0.44789 0.04891 1.14629 0.02839 1.59418 0.04210 0.0039896 1.9635
2461182.3423194 -0.36658 0.04813 1.20931 0.03018 1.57589 0.03970 0.0039896 1.9640
2461182.3424521 -0.41381 0.04523 99.99999 9.99999 99.99999 9.99999 0.0039896 1.9644
2461182.3425855 -0.47624 0.04663 1.05381 0.02735 1.53005 0.03991 0.0039896 1.9647
2461182.3427198 -0.48966 0.04493 1.06548 0.02657 1.55513 0.03841 0.0039895 1.9651
2461182.3428536 99.99999 9.99999 1.22919 0.02857 99.99999 9.99999 0.0039895 1.9654
2461182.3430507 99.99999 9.99999 99.99999 9.99999 1.52720 0.03888 0.0039895 1.9659
2461182.3431830 99.99999 9.99999 99.99999 9.99999 1.48836 0.03587 0.0039895 1.9663
2461182.3433171 -0.44641 0.04235 0.94252 0.02595 1.38893 0.03620 0.0039895 1.9667
2461182.3434497 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039895 1.9670
2461182.3435823 -0.47067 0.05106 1.12647 0.02938 1.59714 0.04387 0.0039895 1.9674
2461182.3437805 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039895 1.9679
2461182.3439130 -0.32673 0.04902 1.19053 0.03079 1.51726 0.04055 0.0039895 1.9683
2461182.3441796 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039894 1.9690
2461182.3443119 99.99999 9.99999 1.12803 0.02667 99.99999 9.99999 0.0039894 1.9694
2461182.3445084 -0.49592 0.04222 0.98025 0.02460 1.47617 0.03660 0.0039894 1.9699
2461182.3446409 -0.38662 0.04095 0.67262 0.02681 1.05925 0.03557 0.0039894 1.9703
2461182.3447744 -0.43593 0.04194 1.01698 0.02543 1.45291 0.03577 0.0039894 1.9707
2461182.3449079 -0.33746 0.04257 99.99999 9.99999 99.99999 9.99999 0.0039894 1.9711
2461182.3450424 -0.34995 0.03997 99.99999 9.99999 99.99999 9.99999 0.0039894 1.9715
2461182.3452381 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039894 1.9720
2461182.3453707 99.99999 9.99999 99.99999 9.99999 1.57659 0.03483 0.0039894 1.9724
