JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 3, Filter: IRCUT, JD: heliocentric
2461157.4104221 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3746
2461157.4105544 99.99999 9.99999 99.99999 9.99999 -0.24719 0.03944 0.0007741 1.3740
2461157.4106891 99.99999 9.99999 99.99999 9.99999 -0.25838 0.04107 0.0007741 1.3734
2461157.4108223 1.07664 0.07705 0.74513 0.08130 -0.33151 0.04545 0.0007741 1.3728
2461157.4109561 99.99999 9.99999 0.86728 0.08026 99.99999 9.99999 0.0007741 1.3722
2461157.4113346 1.43709 0.10731 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3704
2461157.4114683 1.06166 0.08466 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3698
2461157.4116031 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3692
2461157.4117364 99.99999 9.99999 0.61874 0.07545 99.99999 9.99999 0.0007741 1.3686
2461157.4119776 1.00429 0.06555 0.83199 0.06703 -0.17229 0.03760 0.0007741 1.3675
2461157.4121098 99.99999 9.99999 99.99999 9.99999 -0.35381 0.04524 0.0007741 1.3669
2461157.4122443 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3663
2461157.4123780 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3657
2461157.4125126 99.99999 9.99999 0.69188 0.06967 99.99999 9.99999 0.0007741 1.3651
2461157.4127597 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3640
2461157.4128922 99.99999 9.99999 0.87358 0.07557 99.99999 9.99999 0.0007741 1.3634
2461157.4130255 99.99999 9.99999 0.89865 0.08634 99.99999 9.99999 0.0007741 1.3628
2461157.4131587 0.99490 0.08038 0.67676 0.08470 -0.31814 0.04944 0.0007741 1.3622
2461157.4132925 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007741 1.3616
2461157.4135392 1.13210 0.06528 0.81250 0.06771 -0.31960 0.03491 0.0007741 1.3605
2461157.4136714 1.01833 0.06556 0.73906 0.06825 -0.27927 0.03822 0.0007741 1.3599
2461157.4138050 0.94744 0.06610 0.77326 0.06830 -0.17418 0.04060 0.0007741 1.3593
2461157.4139386 0.90815 0.05985 0.61537 0.06306 -0.29278 0.03877 0.0007741 1.3587
2461157.4140734 0.98728 0.06257 0.67447 0.06607 -0.31281 0.03900 0.0007742 1.3581
2461157.4143158 99.99999 9.99999 0.83709 0.07595 99.99999 9.99999 0.0007742 1.3570
2461157.4144485 1.21746 0.07473 0.85080 0.07829 -0.36666 0.03924 0.0007742 1.3564
2461157.4145834 1.24262 0.06399 0.80337 0.06773 -0.43925 0.03625 0.0007742 1.3559
2461157.4147173 1.11508 0.07216 0.83464 0.07490 -0.28044 0.03984 0.0007742 1.3553
2461157.4148516 1.17014 0.07120 0.81172 0.07432 -0.35843 0.03919 0.0007742 1.3547
2461157.4152314 1.21778 0.07144 0.86650 0.07425 -0.35128 0.03737 0.0007742 1.3530
2461157.4153650 1.14393 0.07470 0.96239 0.07651 -0.18154 0.03843 0.0007742 1.3524
2461157.4154981 1.36694 0.08573 1.00564 0.08865 -0.36130 0.03962 0.0007742 1.3518
2461157.4156319 1.41549 0.07793 0.97964 0.08092 -0.43585 0.03723 0.0007742 1.3512
2461157.4158685 1.07150 0.07150 0.82662 0.07394 -0.24488 0.04038 0.0007742 1.3502
2461157.4160013 1.07887 0.08466 1.00807 0.08497 -0.07079 0.04180 0.0007742 1.3496
2461157.4161344 1.34917 0.07949 1.04151 0.08191 -0.30766 0.03603 0.0007742 1.3490
2461157.4162680 99.99999 9.99999 99.99999 9.99999 -0.39727 0.03899 0.0007742 1.3485
2461157.4164031 1.21592 0.07143 0.91741 0.07358 -0.29851 0.03611 0.0007742 1.3479
2461157.4166477 1.05500 0.08173 0.75945 0.08545 -0.29555 0.04809 0.0007742 1.3468
2461157.4167800 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007742 1.3462
