JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3783563 -2.51223 0.01661 -0.0003263 1.0466
2461218.3784333 -2.53662 0.01709 -0.0003263 1.0467
2461218.3785116 99.99999 9.99999 -0.0003263 1.0468
2461218.3786714 -2.38715 0.01700 -0.0003263 1.0469
2461218.3787501 -2.53391 0.01768 -0.0003263 1.0469
2461218.3788278 99.99999 9.99999 -0.0003263 1.0470
2461218.3789050 99.99999 9.99999 -0.0003263 1.0471
2461218.3789832 -2.56870 0.02027 -0.0003263 1.0471
2461218.3791448 -2.54688 0.01811 -0.0003263 1.0473
2461218.3792218 99.99999 9.99999 -0.0003263 1.0473
2461218.3793772 -2.55633 0.01672 -0.0003263 1.0475
2461218.3794541 99.99999 9.99999 -0.0003263 1.0475
2461218.3796215 99.99999 9.99999 -0.0003263 1.0477
2461218.3796982 -2.42226 0.01752 -0.0003263 1.0477
2461218.3797761 -2.52109 0.02015 -0.0003263 1.0478
2461218.3799314 99.99999 9.99999 -0.0003263 1.0479
2461218.3800941 99.99999 9.99999 -0.0003264 1.0481
2461218.3801725 -2.50585 0.01910 -0.0003264 1.0481
2461218.3802504 -2.44992 0.01766 -0.0003264 1.0482
2461218.3803275 -2.54048 0.01987 -0.0003264 1.0483
2461218.3804055 -2.50332 0.02088 -0.0003264 1.0483
2461218.3805661 -2.33150 0.01698 -0.0003264 1.0485
2461218.3806429 -2.51553 0.01819 -0.0003264 1.0485
2461218.3807204 -2.55622 0.01781 -0.0003264 1.0486
2461218.3807983 99.99999 9.99999 -0.0003264 1.0486
2461218.3808754 -2.51193 0.01794 -0.0003264 1.0487
2461218.3810440 -2.54440 0.01838 -0.0003264 1.0489
2461218.3811220 -2.65950 0.01971 -0.0003264 1.0489
2461218.3811988 -2.60818 0.01785 -0.0003264 1.0490
2461218.3812765 -2.49677 0.02017 -0.0003264 1.0491
2461218.3813548 99.99999 9.99999 -0.0003264 1.0491
2461218.3815131 -2.41098 0.01865 -0.0003264 1.0493
2461218.3816675 99.99999 9.99999 -0.0003264 1.0494
2461218.3817446 99.99999 9.99999 -0.0003264 1.0495
2461218.3818219 99.99999 9.99999 -0.0003264 1.0495
2461218.3819865 99.99999 9.99999 -0.0003264 1.0497
2461218.3820628 99.99999 9.99999 -0.0003264 1.0497
2461218.3821402 -2.35808 0.01673 -0.0003264 1.0498
2461218.3822178 -2.37022 0.01696 -0.0003264 1.0499
2461218.3822951 -2.39571 0.01625 -0.0003264 1.0499
