JDHEL V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C-K1 s6 C-K2 s7 C-K3 s8 C-K4 s9 K1-K2 s10 K1-K3 s11 K1-K4 s12 K2-K3 s13 K2-K4 s14 K3-K4 s15 HELCOR AIRMASS
Aperture: 2, Filter: IRCUT, JD: heliocentric
2461186.3252582 -0.16760 0.04831 -0.81371 0.07462 -0.91636 0.09015 -0.65954 0.07212 -0.11909 0.04933 -0.64611 0.07590 -0.74876 0.09121 -0.49195 0.07344 0.04851 0.05125 -0.10265 0.10749 0.15416 0.09289 0.69462 0.07655 0.25681 0.10576 0.79726 0.09175 0.54045 0.07412 0.0037054 1.9781
2461186.3253905 -0.23987 0.05521 -0.71203 0.07663 -0.68914 0.07215 -0.55024 0.08101 -0.19229 0.06014 -0.47216 0.07883 -0.44927 0.07448 -0.31037 0.08309 0.04758 0.06291 0.02289 0.09150 0.16179 0.09863 0.51975 0.08236 0.13890 0.09519 0.49685 0.07821 0.35796 0.08644 0.0037054 1.9784
2461186.3255233 -0.12060 0.05125 -0.83386 0.08634 -0.70124 0.07504 -0.50726 0.06240 -0.08062 0.04965 -0.71326 0.08666 -0.58064 0.07540 -0.38666 0.06284 0.03998 0.05020 0.13262 0.10253 0.32660 0.09368 0.75324 0.08572 0.19397 0.08338 0.62062 0.07432 0.42664 0.06154 0.0037053 1.9787
2461186.3256565 -0.20606 0.05366 -0.88084 0.08359 -0.77366 0.07995 -0.68041 0.07287 -0.06208 0.04880 -0.67478 0.08836 -0.56760 0.08492 -0.47435 0.07830 0.14397 0.05659 0.10718 0.10639 0.20043 0.10118 0.81876 0.08550 0.09325 0.09820 0.71158 0.08194 0.61833 0.07505 0.0037053 1.9791
2461186.3258563 -0.08439 0.05011 -0.81885 0.07987 -0.85264 0.08357 -0.68649 0.07306 -0.05944 0.04836 -0.73446 0.08279 -0.76825 0.08637 -0.60210 0.07624 0.02495 0.05305 -0.03379 0.10643 0.13236 0.09839 0.75941 0.08174 0.16615 0.10142 0.79320 0.08536 0.62704 0.07510 0.0037053 1.9795
2461186.3259890 -0.22241 0.05262 -0.94042 0.09339 -0.88821 0.08408 -0.58603 0.07092 -0.11156 0.04931 -0.71801 0.09421 -0.66580 0.08499 -0.36362 0.07200 0.11085 0.05085 0.05222 0.11479 0.35439 0.10553 0.82886 0.09240 0.30218 0.09738 0.77665 0.08298 0.47447 0.06961 0.0037053 1.9799
2461186.3261217 -0.22400 0.05098 -0.92466 0.08599 -0.80274 0.07811 -0.59819 0.07021 -0.22092 0.04931 -0.70066 0.08901 -0.57873 0.08142 -0.37419 0.07388 0.00308 0.05440 0.12192 0.10689 0.32647 0.10126 0.70374 0.08806 0.20455 0.09465 0.58182 0.08038 0.37727 0.07273 0.0037053 1.9802
2461186.3262552 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 -0.62900 0.08069 -0.61740 0.09027 -0.51776 0.07924 0.07526 0.05674 0.01160 0.10420 0.11124 0.09481 0.70425 0.07699 0.09964 0.10309 0.69265 0.08699 0.59301 0.07548 0.0037053 1.9805
2461186.3263894 -0.32201 0.05630 -0.91780 0.07448 -0.89387 0.08816 -0.74305 0.07742 -0.12571 0.04627 -0.59579 0.08247 -0.57186 0.09500 -0.42104 0.08514 0.19631 0.05826 0.02393 0.10679 0.17475 0.09812 0.79210 0.07598 0.15082 0.10886 0.76817 0.08942 0.61735 0.07886 0.0037053 1.9809
2461186.3265896 -0.22870 0.05288 -1.08162 0.09749 -1.05881 0.09484 -0.70684 0.07184 -0.29262 0.05496 -0.85292 0.10084 -0.83011 0.09828 -0.47814 0.07632 -0.06393 0.06071 0.02281 0.12793 0.37478 0.11195 0.78899 0.10195 0.35197 0.10965 0.76618 0.09942 0.41421 0.07778 0.0037053 1.9814
2461186.3267227 -0.23683 0.05086 -0.90631 0.07361 -1.08449 0.09897 -0.83007 0.08030 -0.17000 0.04795 -0.66948 0.07703 -0.84766 0.10154 -0.59324 0.08346 0.06683 0.05306 -0.17818 0.11464 0.07624 0.09897 0.73631 0.07514 0.25442 0.11905 0.91449 0.10012 0.66007 0.08171 0.0037053 1.9817
