JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3865716 99.99999 9.99999 -0.0003265 1.0538
2461218.3866499 -2.02287 0.02013 -0.0003266 1.0538
2461218.3869619 99.99999 9.99999 -0.0003266 1.0541
2461218.3870393 -2.05838 0.01717 -0.0003266 1.0542
2461218.3871170 -2.11002 0.01854 -0.0003266 1.0543
2461218.3873631 -2.25610 0.01973 -0.0003266 1.0545
2461218.3874406 99.99999 9.99999 -0.0003266 1.0546
2461218.3875183 99.99999 9.99999 -0.0003266 1.0546
2461218.3875971 99.99999 9.99999 -0.0003266 1.0547
2461218.3878359 99.99999 9.99999 -0.0003266 1.0549
2461218.3879147 -2.22459 0.02058 -0.0003266 1.0550
2461218.3879923 99.99999 9.99999 -0.0003266 1.0551
2461218.3880698 99.99999 9.99999 -0.0003266 1.0552
2461218.3883066 99.99999 9.99999 -0.0003266 1.0554
2461218.3885396 -2.12512 0.01985 -0.0003266 1.0556
2461218.3887039 99.99999 9.99999 -0.0003266 1.0558
2461218.3887811 99.99999 9.99999 -0.0003266 1.0558
2461218.3888594 -2.00937 0.01787 -0.0003266 1.0559
2461218.3889362 -2.07308 0.01893 -0.0003266 1.0560
2461218.3891765 99.99999 9.99999 -0.0003266 1.0562
2461218.3892545 -1.74022 0.01660 -0.0003266 1.0563
2461218.3894876 99.99999 9.99999 -0.0003266 1.0565
2461218.3896486 -1.83237 0.01824 -0.0003266 1.0567
2461218.3897250 -2.00327 0.01649 -0.0003266 1.0567
2461218.3898795 -1.81972 0.01755 -0.0003266 1.0569
2461218.3901259 -1.98025 0.01660 -0.0003267 1.0571
2461218.3902805 -2.26393 0.01931 -0.0003267 1.0573
2461218.3903580 99.99999 9.99999 -0.0003267 1.0574
2461218.3904375 -2.12560 0.01896 -0.0003267 1.0574
2461218.3907536 99.99999 9.99999 -0.0003267 1.0577
2461218.3909091 -2.07340 0.01622 -0.0003267 1.0579
2461218.3910703 -2.14230 0.02014 -0.0003267 1.0581
2461218.3911472 99.99999 9.99999 -0.0003267 1.0581
2461218.3912244 -2.05523 0.01703 -0.0003267 1.0582
2461218.3913026 -2.13131 0.01753 -0.0003267 1.0583
2461218.3913799 99.99999 9.99999 -0.0003267 1.0584
2461218.3915391 99.99999 9.99999 -0.0003267 1.0585
2461218.3916162 99.99999 9.99999 -0.0003267 1.0586
2461218.3916944 99.99999 9.99999 -0.0003267 1.0587
2461218.3920133 -2.07955 0.01881 -0.0003267 1.0590
2461218.3920910 99.99999 9.99999 -0.0003267 1.0591
2461218.3922469 99.99999 9.99999 -0.0003267 1.0592
2461218.3923260 99.99999 9.99999 -0.0003267 1.0593
2461218.3924823 99.99999 9.99999 -0.0003267 1.0595
2461218.3926378 99.99999 9.99999 -0.0003267 1.0596
2461218.3927937 -2.01749 0.01746 -0.0003267 1.0598
2461218.3929544 99.99999 9.99999 -0.0003267 1.0599
2461218.3930332 99.99999 9.99999 -0.0003267 1.0600
2461218.3931096 99.99999 9.99999 -0.0003267 1.0601
2461218.3931877 -2.26284 0.02159 -0.0003267 1.0602
2461218.3934244 -2.42535 0.02158 -0.0003268 1.0604
2461218.3935822 -2.10237 0.02028 -0.0003268 1.0606
2461218.3936594 -2.05107 0.01872 -0.0003268 1.0606
2461218.3937366 -2.28651 0.02117 -0.0003268 1.0607
2461218.3939058 99.99999 9.99999 -0.0003268 1.0609
2461218.3939845 99.99999 9.99999 -0.0003268 1.0610
2461218.3940629 99.99999 9.99999 -0.0003268 1.0611
2461218.3941402 99.99999 9.99999 -0.0003268 1.0611
2461218.3945326 -2.07571 0.02027 -0.0003268 1.0615
2461218.3946112 -2.23690 0.02257 -0.0003268 1.0616
2461218.3948555 -2.41460 0.02136 -0.0003268 1.0619
2461218.3949327 99.99999 9.99999 -0.0003268 1.0620
2461218.3953283 99.99999 9.99999 -0.0003268 1.0624
2461218.3954079 99.99999 9.99999 -0.0003268 1.0625
2461218.3954856 -2.07804 0.01836 -0.0003268 1.0625
2461218.3956414 99.99999 9.99999 -0.0003268 1.0627
2461218.3958747 -1.99903 0.01862 -0.0003268 1.0629
2461218.3960302 -1.95721 0.01874 -0.0003268 1.0631
2461218.3961080 -1.87139 0.01526 -0.0003268 1.0632
2461218.3963462 99.99999 9.99999 -0.0003268 1.0634
2461218.3964232 99.99999 9.99999 -0.0003268 1.0635
2461218.3965792 99.99999 9.99999 -0.0003269 1.0637
2461218.3967387 99.99999 9.99999 -0.0003269 1.0639
2461218.3969741 99.99999 9.99999 -0.0003269 1.0641
2461218.3970518 99.99999 9.99999 -0.0003269 1.0642
2461218.3972115 99.99999 9.99999 -0.0003269 1.0644
2461218.3973656 -1.78348 0.01663 -0.0003269 1.0645
2461218.3976890 99.99999 9.99999 -0.0003269 1.0649
2461218.3977664 99.99999 9.99999 -0.0003269 1.0650
2461218.3978436 -2.20413 0.02002 -0.0003269 1.0650
2461218.3979208 99.99999 9.99999 -0.0003269 1.0651
2461218.3979990 99.99999 9.99999 -0.0003269 1.0652
2461218.3984741 99.99999 9.99999 -0.0003269 1.0657
2461218.3986403 99.99999 9.99999 -0.0003269 1.0659
2461218.3987948 99.99999 9.99999 -0.0003269 1.0661
2461218.3988718 99.99999 9.99999 -0.0003269 1.0662
2461218.3989490 99.99999 9.99999 -0.0003269 1.0662
2461218.3991120 99.99999 9.99999 -0.0003269 1.0664
2461218.3992670 99.99999 9.99999 -0.0003269 1.0666
2461218.3993444 99.99999 9.99999 -0.0003269 1.0667
2461218.3994220 99.99999 9.99999 -0.0003269 1.0668
2461218.3996581 99.99999 9.99999 -0.0003269 1.0670
2461218.3997352 99.99999 9.99999 -0.0003269 1.0671
2461218.3998127 -2.20369 0.01981 -0.0003270 1.0672
2461218.4001315 99.99999 9.99999 -0.0003270 1.0676
2461218.4003636 -1.81785 0.01580 -0.0003270 1.0678
2461218.4006045 99.99999 9.99999 -0.0003270 1.0681
2461218.4006835 99.99999 9.99999 -0.0003270 1.0682
2461218.4008390 99.99999 9.99999 -0.0003270 1.0683
2461218.4010748 -1.97033 0.01926 -0.0003270 1.0686
2461218.4011522 99.99999 9.99999 -0.0003270 1.0687
2461218.4012297 99.99999 9.99999 -0.0003270 1.0688
2461218.4013083 99.99999 9.99999 -0.0003270 1.0689
2461218.4014701 99.99999 9.99999 -0.0003270 1.0691
2461218.4016264 99.99999 9.99999 -0.0003270 1.0692
2461218.4019424 -2.00565 0.01674 -0.0003270 1.0696
2461218.4020192 99.99999 9.99999 -0.0003270 1.0697
2461218.4021756 -1.97666 0.02153 -0.0003270 1.0699
2461218.4022529 -1.97216 0.02074 -0.0003270 1.0699
2461218.4024951 -1.98248 0.01774 -0.0003270 1.0702
2461218.4025733 99.99999 9.99999 -0.0003270 1.0703
2461218.4028888 -1.94427 0.01595 -0.0003270 1.0707
2461218.4029672 99.99999 9.99999 -0.0003270 1.0708
2461218.4031233 99.99999 9.99999 -0.0003271 1.0709
2461218.4033640 99.99999 9.99999 -0.0003271 1.0712
2461218.4034418 99.99999 9.99999 -0.0003271 1.0713
2461218.4036746 99.99999 9.99999 -0.0003271 1.0716
2461218.4038402 99.99999 9.99999 -0.0003271 1.0718
2461218.4039956 99.99999 9.99999 -0.0003271 1.0720
2461218.4043930 99.99999 9.99999 -0.0003271 1.0724
2461218.4044700 -2.21478 0.01912 -0.0003271 1.0725
2461218.4047899 -1.88384 0.02044 -0.0003271 1.0729
2461218.4048674 99.99999 9.99999 -0.0003271 1.0730
2461218.4049461 99.99999 9.99999 -0.0003271 1.0731
2461218.4050229 -2.09619 0.02109 -0.0003271 1.0732
2461218.4051021 99.99999 9.99999 -0.0003271 1.0733
2461218.4052614 -1.79627 0.01782 -0.0003271 1.0734
2461218.4053386 99.99999 9.99999 -0.0003271 1.0735
2461218.4054926 99.99999 9.99999 -0.0003271 1.0737
2461218.4055699 99.99999 9.99999 -0.0003271 1.0738
2461218.4057376 -1.89969 0.01659 -0.0003271 1.0740
2461218.4059694 99.99999 9.99999 -0.0003271 1.0743
2461218.4060467 -2.29906 0.02107 -0.0003271 1.0744
2461218.4062153 99.99999 9.99999 -0.0003271 1.0746
2461218.4062927 -2.22195 0.02178 -0.0003271 1.0747
2461218.4064466 99.99999 9.99999 -0.0003272 1.0749
2461218.4065254 -1.88691 0.01916 -0.0003272 1.0749
2461218.4066852 99.99999 9.99999 -0.0003272 1.0751
2461218.4071589 99.99999 9.99999 -0.0003272 1.0757
2461218.4072364 -1.88583 0.02103 -0.0003272 1.0758
2461218.4073135 99.99999 9.99999 -0.0003272 1.0759
2461218.4074700 99.99999 9.99999 -0.0003272 1.0761
2461218.4076194 99.99999 9.99999 -0.0003272 1.0763
2461218.4076964 -1.74187 0.01678 -0.0003272 1.0764
2461218.4080930 99.99999 9.99999 -0.0003272 1.0769
2461218.4081704 99.99999 9.99999 -0.0003272 1.0769
2461218.4083255 99.99999 9.99999 -0.0003272 1.0771
2461218.4084048 -1.86972 0.02002 -0.0003272 1.0772
2461218.4085667 99.99999 9.99999 -0.0003272 1.0774
2461218.4090450 99.99999 9.99999 -0.0003272 1.0780
2461218.4091232 -1.99744 0.01721 -0.0003272 1.0781
2461218.4092005 99.99999 9.99999 -0.0003272 1.0782
2461218.4092789 -1.86737 0.01618 -0.0003272 1.0783
2461218.4093573 -1.86238 0.01703 -0.0003272 1.0784
2461218.4096773 99.99999 9.99999 -0.0003273 1.0788
2461218.4099953 99.99999 9.99999 -0.0003273 1.0792
2461218.4101524 -1.74387 0.01598 -0.0003273 1.0794
2461218.4103081 -2.09698 0.01887 -0.0003273 1.0796
2461218.4106243 99.99999 9.99999 -0.0003273 1.0800
2461218.4109455 99.99999 9.99999 -0.0003273 1.0804
2461218.4110236 99.99999 9.99999 -0.0003273 1.0805
2461218.4111788 -2.12184 0.02203 -0.0003273 1.0807
2461218.4112570 -1.91140 0.01739 -0.0003273 1.0808
2461218.4114192 -2.04742 0.01763 -0.0003273 1.0810
2461218.4115760 99.99999 9.99999 -0.0003273 1.0812
2461218.4116544 99.99999 9.99999 -0.0003273 1.0813
2461218.4118908 -1.86684 0.01617 -0.0003273 1.0816
2461218.4120448 99.99999 9.99999 -0.0003273 1.0818
2461218.4121228 99.99999 9.99999 -0.0003273 1.0819
2461218.4122000 99.99999 9.99999 -0.0003273 1.0820
2461218.4123680 99.99999 9.99999 -0.0003273 1.0822
2461218.4124451 99.99999 9.99999 -0.0003273 1.0823
2461218.4125228 99.99999 9.99999 -0.0003273 1.0824
2461218.4128377 99.99999 9.99999 -0.0003273 1.0828
2461218.4129151 99.99999 9.99999 -0.0003273 1.0829
2461218.4129935 -1.80434 0.01867 -0.0003274 1.0830
2461218.4130708 99.99999 9.99999 -0.0003274 1.0831
2461218.4133139 99.99999 9.99999 -0.0003274 1.0834
2461218.4133903 99.99999 9.99999 -0.0003274 1.0835
2461218.4138708 99.99999 9.99999 -0.0003274 1.0842
2461218.4140272 -1.96615 0.01786 -0.0003274 1.0844
2461218.4142618 -2.21151 0.02177 -0.0003274 1.0847
2461218.4143390 99.99999 9.99999 -0.0003274 1.0848
2461218.4144933 -1.97580 0.01792 -0.0003274 1.0850
2461218.4147344 -2.07496 0.01789 -0.0003274 1.0853
2461218.4148917 -2.03054 0.01929 -0.0003274 1.0855
2461218.4149695 99.99999 9.99999 -0.0003274 1.0856
2461218.4153734 99.99999 9.99999 -0.0003274 1.0862
2461218.4154504 99.99999 9.99999 -0.0003274 1.0863
2461218.4155293 -2.07638 0.02037 -0.0003274 1.0864
2461218.4156907 99.99999 9.99999 -0.0003274 1.0866
2461218.4157698 99.99999 9.99999 -0.0003274 1.0867
2461218.4158477 99.99999 9.99999 -0.0003274 1.0868
2461218.4159250 99.99999 9.99999 -0.0003274 1.0869
2461218.4161664 99.99999 9.99999 -0.0003274 1.0872
2461218.4162433 99.99999 9.99999 -0.0003275 1.0873
2461218.4163209 99.99999 9.99999 -0.0003275 1.0874
2461218.4164761 99.99999 9.99999 -0.0003275 1.0876
2461218.4166423 99.99999 9.99999 -0.0003275 1.0879
2461218.4171140 -1.89341 0.01955 -0.0003275 1.0885
2461218.4172704 -1.97052 0.01840 -0.0003275 1.0887
2461218.4174261 99.99999 9.99999 -0.0003275 1.0889
2461218.4177519 -2.00918 0.01612 -0.0003275 1.0894
2461218.4180693 99.99999 9.99999 -0.0003275 1.0898
2461218.4182257 99.99999 9.99999 -0.0003275 1.0900
2461218.4183024 99.99999 9.99999 -0.0003275 1.0901
2461218.4185010 -1.81143 0.01584 -0.0003275 1.0904
2461218.4187336 99.99999 9.99999 -0.0003275 1.0907
2461218.4188105 99.99999 9.99999 -0.0003275 1.0908
2461218.4189771 99.99999 9.99999 -0.0003275 1.0910
2461218.4190534 99.99999 9.99999 -0.0003275 1.0912
2461218.4191323 99.99999 9.99999 -0.0003275 1.0913
2461218.4192093 99.99999 9.99999 -0.0003275 1.0914
2461218.4192882 99.99999 9.99999 -0.0003275 1.0915
2461218.4195321 -1.95035 0.01649 -0.0003276 1.0918
2461218.4196120 99.99999 9.99999 -0.0003276 1.0919
2461218.4197686 -2.03999 0.01784 -0.0003276 1.0921
2461218.4199302 99.99999 9.99999 -0.0003276 1.0924
2461218.4200091 -1.86426 0.02047 -0.0003276 1.0925
2461218.4200873 99.99999 9.99999 -0.0003276 1.0926
2461218.4204004 99.99999 9.99999 -0.0003276 1.0930
2461218.4204773 -1.80822 0.01804 -0.0003276 1.0931
2461218.4206328 99.99999 9.99999 -0.0003276 1.0934
2461218.4207097 99.99999 9.99999 -0.0003276 1.0935
